visit_order,city,x,y
1,A5,56.4,-40.3
2,Z8,77.3,-34.7
3,D2,91.0,-39.4
4,R8,93.9,-35.1
5,H9,93.6,-19.2
6,D0,97.0,10.3
7,K9,67.8,33.4
8,F0,74.0,36.6
9,E7,74.5,51.7
10,Z3,75.7,70.6
11,G0,89.8,75.7
12,Z1,67.6,93.4
13,W0,50.6,97.0
14,X6,46.6,75.6
15,L4,29.3,74.3
16,Z0,23.5,64.5
17,I4,19.6,56.8
18,L5,31.8,51.8
19,F9,37.5,56.9
20,S1,38.6,26.7
21,D3,32.6,12.9
22,G2,52.9,15.7
23,C0,46.7,-16.7
24,F2,-2.0,-12.5
25,V9,-11.9,-5.1
26,R0,-18.9,-12.3
27,Y1,-41.3,-15.2
28,I9,-40.0,5.4
29,H5,-30.6,28.9
30,X7,-5.3,14.4
31,P3,10.5,34.7
32,P7,4.2,65.7
33,R4,-10.5,60.9
34,V0,-11.3,60.6
35,K0,-10.0,91.4
36,M6,-31.7,99.3
37,T8,-43.3,78.9
38,E3,-58.0,93.8
39,M7,-64.8,83.3
40,H1,-60.3,69.5
41,Z9,-66.0,61.2
42,Y7,-66.8,62.5
43,L1,-73.4,63.8
44,V6,-86.4,76.8
45,N0,-90.2,89.9
46,G6,-97.3,98.5
47,U4,-97.9,59.2
48,L6,-91.5,46.3
49,O2,-77.1,39.4
50,A8,-87.8,16.7
51,V3,-83.5,15.6
52,P4,-76.6,12.8
53,P5,-85.2,6.6
54,T5,-98.2,-3.0
55,Y3,-95.4,-14.1
56,K2,-98.2,-20.6
57,T2,-85.1,-23.0
58,H0,-56.2,-36.8
59,P6,-54.5,-53.2
60,X3,-63.4,-46.0
61,O8,-75.7,-50.3
62,B4,-69.7,-62.0
63,M2,-62.2,-76.9
64,Q7,-96.0,-85.8
65,L2,-87.3,-94.5
66,K7,-73.3,-91.6
67,W7,-54.7,-83.4
68,A4,-42.4,-66.0
69,S4,-31.8,-52.5
70,L8,-22.4,-65.9
71,O7,-25.4,-83.7
72,X2,-10.8,-84.5
73,R9,-2.6,-76.3
74,U7,-11.0,-49.2
75,D6,-1.6,-48.0
76,Z2,16.3,-66.8
77,I8,13.2,-87.1
78,Q2,44.3,-95.7
79,I5,46.8,-92.2
80,F7,95.2,-92.0
81,G5,59.6,-74.2
82,V8,58.0,-74.3
83,B8,51.4,-57.8
84,R5,46.8,-60.2
85,A5 (retorno),56.4,-40.3
