order,city,x,y
1,A8,-24.5,9.3
2,D0,-24.2,12.5
3,B9,-13.5,30.8
4,K3,3.1,49.7
5,C3,1.0,51.6
6,A2,4.3,74.3
7,B1,1.7,77.0
8,W7,0.2,81.1
9,U3,8.8,96.1
10,T8,13.0,92.1
11,L0,27.8,93.9
12,H6,39.8,85.4
13,T4,41.1,80.2
14,L3,48.8,65.0
15,E5,74.1,78.3
16,B4,98.4,92.8
17,O5,91.5,71.2
18,J2,82.7,54.5
19,I7,67.6,53.8
20,N1,43.5,35.8
21,D9,32.9,47.2
22,A6,32.0,46.8
23,N8,27.7,33.3
24,Z9,21.8,-1.1
25,L8,22.9,-11.0
26,M1,44.6,-22.5
27,U0,51.6,-22.6
28,P0,50.2,-33.0
29,P6,55.4,-48.6
30,A5,46.0,-54.5
31,Z3,64.1,-63.9
32,C7,73.7,-42.6
33,F8,67.9,-39.4
34,Y1,75.7,-24.5
35,I2,71.3,-24.7
36,Z0,68.3,-24.9
37,M6,59.6,-10.3
38,H9,72.8,-7.3
39,A4,82.2,14.7
40,G3,94.5,-51.1
41,I5,91.0,-63.6
42,Y3,91.8,-64.0
43,G8,88.2,-86.4
44,B2,45.2,-83.5
45,Q2,22.0,-98.8
46,N5,9.4,-91.6
47,G1,-19.3,-94.8
48,F1,-33.8,-80.4
49,O3,-43.5,-81.6
50,W9,-75.5,-89.5
51,L6,-91.3,-97.4
52,Q5,-69.2,-73.1
53,K8,-76.1,-66.6
54,B0,-73.1,-61.4
55,A3,-46.4,-53.8
56,Q6,-21.9,-62.2
57,H7,-14.0,-59.8
58,O9,9.0,-44.1
59,Z2,-6.8,-17.1
60,L4,-27.4,-21.9
61,V2,-60.4,-46.1
62,P4,-66.0,-32.6
63,K0,-68.1,-32.6
64,U6,-94.2,-35.5
65,U5,-97.4,-29.6
66,T5,-89.0,-23.9
67,P1,-74.8,-8.0
68,Q8,-72.5,0.0
69,E7,-71.9,72.6
70,E8,-72.9,80.4
71,P8,-91.4,99.6
72,C4,-43.0,99.1
73,K4,-20.4,87.7
74,S7,-31.9,82.9
75,O0,-30.1,74.2
76,X7,-39.2,58.2
77,J1,-43.5,28.6
78,R5,-55.0,14.0
79,K5,-56.7,-10.2
80,Y5,-51.5,-10.9
81,S6,-40.3,-6.9
82,J6,-26.3,7.0
