generation,best_distance,generation_best_distance,avg_distance,worst_distance,unique_pct,hamming_avg,no_improve
0,1551.4330469537988,1551.4330469537988,8540.643174586132,9720.961853667293,100.0,0.9897590361445783,0
1,1551.4330469537988,1551.4330469537988,8136.468107440827,9390.635265714032,98.88888888888889,0.9856927710843377,1
2,1551.4330469537988,1551.4330469537988,7429.418568360021,9280.56333969279,96.66666666666667,0.9603915662650608,2
3,1551.4330469537988,1551.4330469537988,5989.865492127146,8743.523057144364,96.66666666666667,0.9634036144578315,3
4,1551.4330469537988,1551.4330469537988,4337.042444821208,7498.141197365782,96.66666666666667,0.9679216867469883,4
5,1551.4330469537988,1551.4330469537988,3108.174798725028,5687.057065663623,93.33333333333333,0.9420180722891569,5
6,1551.4330469537988,1551.4330469537986,2485.895466143942,3810.707961110266,92.22222222222223,0.9213855421686749,6
7,1551.4330469537988,1551.4330469537986,2187.3023437092806,3183.627611960848,91.11111111111111,0.9114457831325303,7
8,1551.4330469537988,1551.4330469537986,1969.104337870427,2714.8541280465124,90.0,0.9331325301204819,8
9,1551.4330469537988,1551.4330469537986,1877.2229815111957,2556.1543651595534,90.0,0.9195783132530119,9
10,1551.4330469537988,1551.4330469537986,1804.4848380430622,2465.804435018851,86.66666666666667,0.8679216867469883,10
11,1551.4330469537988,1551.4330469537986,1745.5962883933996,2243.8404723004446,76.66666666666667,0.8000000000000002,11
12,1551.4330469537988,1551.4330469537986,1703.7442366761825,2282.990645730801,64.44444444444444,0.7299698795180725,12
13,1551.4330469537988,1551.4330469537986,1664.370362425547,2050.6351278440516,56.666666666666664,0.6673192771084339,13
14,1551.4330469537988,1551.4330469537986,1653.670730963178,2048.6911300974184,50.0,0.6439759036144579,14
15,1546.359065056858,1546.359065056858,1632.1355270515662,2110.360326693111,37.77777777777778,0.5683734939759038,0
16,1546.359065056858,1546.359065056858,1619.710587744703,2104.8069847559186,38.88888888888889,0.6936746987951808,1
17,1546.359065056858,1546.359065056858,1650.9641035015316,2184.5245418394375,48.888888888888886,0.6478915662650603,2
18,1546.359065056858,1546.359065056858,1673.8787786735063,2132.3971043982115,52.22222222222223,0.6808734939759037,3
19,1546.359065056858,1546.359065056858,1685.759891477363,2235.2922815830552,58.88888888888889,0.6885542168674698,4
20,1541.9539317856438,1541.9539317856438,1677.865650647234,2076.3520875481618,52.22222222222223,0.6417168674698794,0
21,1541.9539317856438,1541.9539317856438,1686.9005657312268,2169.5448632578878,54.44444444444444,0.6378012048192773,1
22,1541.9539317856438,1541.9539317856438,1651.4353605856284,2158.407904952291,47.77777777777778,0.5197289156626508,2
23,1536.8799498887033,1536.8799498887033,1621.6882534112035,1926.604178489668,47.77777777777778,0.44307228915662666,0
24,1536.8799498887033,1536.8799498887033,1585.16457061089,1966.8054228215497,32.22222222222222,0.267921686746988,1
25,1530.3066861422963,1530.3066861422963,1575.090622451838,1885.4073484526598,26.666666666666668,0.2650602409638555,0
26,1530.3066861422963,1530.3066861422963,1563.6366774930236,1895.9554518625305,20.0,0.1528614457831325,1
27,1525.2327042453558,1525.2327042453558,1579.9785507051104,1901.9513024196622,30.0,0.3486445783132529,0
28,1525.2327042453558,1525.2327042453558,1586.154231137361,2046.1368878064902,35.55555555555556,0.3188253012048192,1
29,1525.2327042453558,1525.2327042453558,1593.4324582108875,1908.48062667301,38.88888888888889,0.4525602409638556,2
30,1525.2327042453558,1525.2327042453558,1587.1541976143315,2013.3028369952006,41.11111111111111,0.4390060240963856,3
31,1525.2327042453558,1525.2327042453558,1568.947878960919,1868.8217906245586,31.11111111111111,0.3742469879518073,4
32,1525.2327042453558,1525.2327042453558,1554.957743285479,1837.2220867295032,21.11111111111111,0.23644578313253012,5
33,1525.2327042453558,1525.2327042453558,1557.7618856851766,1933.144031544726,18.88888888888889,0.10436746987951803,6
34,1525.2327042453558,1525.2327042453558,1557.4307703814723,1871.2912072757688,18.88888888888889,0.1978915662650602,7
35,1525.2327042453558,1525.2327042453558,1553.5846139995206,1908.4614989964139,16.666666666666664,0.22725903614457826,8
36,1525.2327042453558,1525.2327042453558,1545.6495956596943,1801.2236468564672,17.77777777777778,0.21430722891566262,9
37,1525.2327042453558,1525.2327042453558,1558.2145992249348,2139.152364114152,20.0,0.13358433734939756,10
38,1525.2327042453558,1525.2327042453558,1551.3016873587808,1818.9234363217925,20.0,0.21295180722891555,11
39,1525.2327042453558,1525.2327042453558,1543.0784121396052,1860.8709801597665,12.222222222222221,0.06731927710843373,12
40,1525.2327042453558,1525.2327042453558,1552.9613425186412,1908.051122871581,15.555555555555555,0.13599397590361445,13
41,1525.2327042453558,1525.2327042453558,1549.3876535080024,1874.5824029093505,18.88888888888889,0.1753012048192771,14
42,1525.2327042453558,1525.2327042453558,1550.1299710261137,1851.940073314156,14.444444444444443,0.22966867469879518,15
43,1525.2327042453558,1525.2327042453558,1555.7387308093291,1831.4082915432682,20.0,0.2134036144578313,16
44,1525.2327042453558,1525.2327042453558,1574.288992056721,2038.0713595474379,27.77777777777778,0.21219879518072285,17
45,1525.2327042453558,1525.2327042453558,1558.0259748824574,1883.2566700285834,18.88888888888889,0.26852409638554214,18
46,1525.2327042453558,1525.2327042453558,1566.8437347524318,1914.5920929580932,22.22222222222222,0.18780120481927706,19
47,1525.2327042453558,1525.2327042453558,1566.5669100339032,1895.2267266846343,25.555555555555554,0.2897590361445783,20
48,1525.2327042453558,1525.2327042453558,1574.3468872263652,2067.4699761669067,23.333333333333332,0.3454819277108434,21
49,1522.8746116510995,1522.8746116510995,1569.055536409585,1918.2538398825695,27.77777777777778,0.35933734939759027,0
