visit_order,city,x,y
1,P0,-66.1,-30.2
2,B8,-75.7,-16.0
3,V1,-95.4,4.3
4,N5,-67.0,36.4
5,K9,-74.7,57.8
6,M6,-81.2,57.8
7,S3,-72.1,93.9
8,J1,-59.4,51.2
9,D8,-47.8,64.1
10,Y1,-43.8,73.2
11,U7,-33.9,64.2
12,S8,-6.1,94.2
13,R2,-1.4,79.7
14,C8,2.1,66.3
15,V0,8.0,77.0
16,L5,18.0,88.2
17,O3,23.9,99.0
18,B5,48.5,89.0
19,J5,59.5,79.6
20,X6,70.0,84.7
21,U4,94.2,92.9
22,U6,82.8,83.5
23,P1,76.7,73.3
24,D4,99.8,29.8
25,O0,97.5,-15.7
26,O5,94.4,-15.4
27,G6,83.7,-33.5
28,B3,61.7,-37.1
29,H9,49.6,-32.6
30,N9,60.3,-20.8
31,H8,60.7,0.3
32,S6,56.2,19.4
33,I7,60.5,40.0
34,V3,65.3,68.9
35,X1,33.3,72.5
36,X2,28.2,78.5
37,X7,25.1,71.4
38,D6,20.1,53.5
39,L8,42.0,52.0
40,T1,31.5,35.1
41,Z9,37.2,27.3
42,X9,23.9,11.9
43,X8,12.3,25.9
44,P7,-2.8,22.0
45,C0,-18.2,33.4
46,V2,-21.9,48.7
47,S5,-28.5,47.3
48,N4,-39.9,32.8
49,U2,-33.9,10.8
50,T7,-47.8,5.4
51,R6,-57.2,18.7
52,I9,-68.1,11.3
53,B2,-73.0,-4.9
54,R0,-31.4,-21.0
55,W6,-7.0,-1.2
56,C7,4.0,0.2
57,E6,-14.4,-36.8
58,Q8,4.9,-39.1
59,H2,27.6,-31.8
60,S4,19.6,-68.8
61,U1,53.3,-79.8
62,J0,76.6,-79.5
63,R1,44.6,-93.9
64,Q0,0.1,-93.6
65,X4,-5.6,-67.2
66,C3,-21.3,-75.7
67,G4,-32.6,-62.0
68,R8,-57.1,-64.7
69,A0,-54.1,-66.1
70,Y2,-51.3,-68.4
71,P9,-50.4,-74.5
72,N6,-59.6,-85.2
73,V4,-62.3,-90.2
74,Z5,-81.0,-78.4
75,J6,-85.5,-98.5
76,F1,-89.1,-98.3
77,B4,-96.6,-94.0
78,T5,-95.0,-87.2
79,K8,-96.9,-71.6
80,F3,-76.3,-60.0
81,P0 (retorno),-66.1,-30.2
