generation,best_distance,generation_best_distance,avg_distance,worst_distance,unique_pct,hamming_avg,no_improve
0,1676.6759242451044,1676.6759242451044,8601.649685360911,9847.335738616153,100.0,0.9861280487804873,0
1,1676.6759242451044,1676.6759242451044,8152.863531333446,9237.70509863316,100.0,0.9856707317073164,1
2,1676.6759242451044,1676.6759242451044,7454.3078247912035,9024.475859798973,95.55555555555556,0.9792682926829258,2
3,1676.6759242451044,1676.6759242451044,6154.716383820111,9161.486422175096,97.77777777777777,0.9717987804878042,3
4,1676.6759242451044,1676.6759242451044,4635.385523755987,8005.774598107137,94.44444444444444,0.9589939024390238,4
5,1676.6759242451044,1676.6759242451044,3521.337344549998,6675.459965152626,93.33333333333333,0.9623475609756094,5
6,1676.6759242451044,1676.6759242451044,2733.9525884725267,4800.90324034763,92.22222222222223,0.9181402439024389,6
7,1676.6759242451044,1676.6759242451044,2309.4021284874116,3723.4609587096,87.77777777777777,0.9298780487804876,7
8,1676.6759242451044,1676.6759242451042,2063.90483399555,2850.2876659291464,80.0,0.8955792682926829,8
9,1676.6759242451044,1676.6759242451042,1932.3732291255753,2411.203660634699,71.11111111111111,0.8245426829268292,9
10,1676.6759242451044,1676.6759242451042,1849.8285309829523,2432.603892660496,63.33333333333333,0.7425304878048778,10
11,1676.6759242451044,1676.6759242451042,1816.6001028706146,2162.812598792071,60.0,0.7746951219512195,11
12,1676.6759242451044,1676.6759242451042,1802.5347569364226,2342.2428095877026,47.77777777777778,0.5022865853658538,12
13,1676.6759242451044,1676.6759242451042,1713.944650786533,2105.3006329321074,21.11111111111111,0.20426829268292684,13
14,1676.6759242451044,1676.6759242451042,1718.5334086946864,2032.5502661492462,23.333333333333332,0.16234756097560973,14
15,1676.6759242451044,1676.6759242451042,1709.6470848474428,2022.2342963383198,15.555555555555555,0.1405487804878049,15
16,1676.6759242451044,1676.6759242451042,1700.5929717419947,2005.057225716299,14.444444444444443,0.05792682926829269,16
17,1676.6759242451044,1676.6759242451042,1699.9500541610478,2012.6298565946918,15.555555555555555,0.0628048780487805,17
18,1676.6759242451044,1676.6759242451042,1716.9018638408083,2022.0744296247149,16.666666666666664,0.10792682926829271,18
19,1676.6759242451044,1676.6759242451042,1709.9015229465738,1947.219087822345,23.333333333333332,0.14923780487804877,19
20,1676.6759242451044,1676.6759242451042,1716.811096047736,2083.7571735765337,20.0,0.13658536585365852,20
21,1676.6759242451044,1676.6759242451042,1707.8883290553501,2297.588624999526,14.444444444444443,0.07271341463414635,21
22,1676.6759242451044,1676.6759242451042,1700.3287197155655,2018.6566317653492,15.555555555555555,0.1298780487804878,22
