generation,best_distance_so_far,generation_best_distance,avg_distance,worst_distance,best_fitness,avg_fitness,worst_fitness,unique_pct,hamming_pct,no_improve
0,1590.9726097402583,1590.9726097402583,8254.508967432117,9146.121987571136,0.0006285463331535664,0.00012546514548807217,0.00010933595696175074,100.0,98.7784090909091,0
1,1590.9726097402583,1590.9726097402583,7869.314838360834,8767.656260809372,0.0006285463331535664,0.0001339605889113437,0.00011405556630566244,95.0,97.95454545454545,1
2,1590.9726097402583,1590.9726097402583,7341.312199445378,8790.058613858977,0.0006285463331535664,0.0001489203138809409,0.00011376488416395027,98.0,98.75,2
3,1590.9726097402583,1590.9726097402583,6206.38546317373,8215.780135938334,0.0006285463331535664,0.00018989009752546311,0.00012171698651302681,99.0,98.35227272727273,3
4,1590.9726097402583,1590.9726097402583,4728.977347863082,7688.889522903177,0.0006285463331535664,0.00024254294852788883,0.00013005779274383685,98.0,95.9375,4
5,1590.9726097402583,1590.9726097402583,3570.2393750800984,5756.929363561825,0.0006285463331535664,0.0003092062648457521,0.0001737037119700384,97.0,94.23295454545455,5
6,1590.9726097402583,1590.9726097402583,2929.8833909633026,5111.670520804444,0.0006285463331535664,0.0003660100199627524,0.00019563076218038908,97.0,96.70454545454545,6
7,1590.9726097402583,1590.9726097402583,2507.60471382671,3744.372197981389,0.0006285463331535664,0.0004153042571380462,0.0002670674674219366,93.0,95.76704545454545,7
8,1590.9726097402583,1590.9726097402583,2234.372263582876,3281.9602069300336,0.0006285463331535664,0.00045965454481931796,0.0003046959551454788,93.0,94.14772727272728,8
9,1590.9726097402583,1590.9726097402581,2089.8805985079134,2831.873214197666,0.0006285463331535665,0.0004872709357073352,0.0003531231536025254,95.0,95.11363636363637,9
10,1590.9726097402583,1590.9726097402581,2013.0001056612773,2630.643029569041,0.0006285463331535665,0.0005034925846427666,0.000380135194612027,96.0,91.875,10
11,1590.9726097402583,1590.9726097402581,1955.2759692641503,2591.552972592748,0.0006285463331535665,0.0005185331027702131,0.0003858690177571553,92.0,92.2159090909091,11
12,1590.9726097402583,1590.9726097402581,1903.0258038089332,2486.0600161370576,0.0006285463331535665,0.0005308013799540547,0.0004022429038353792,93.0,94.9715909090909,12
13,1590.9726097402583,1590.9726097402581,1872.639128699293,2712.3456370004515,0.0006285463331535665,0.000539212700596325,0.00036868457557860765,94.0,90.25568181818183,13
14,1590.9726097402583,1590.9726097402581,1841.8902984339472,2261.9742375715523,0.0006285463331535665,0.0005475378443886127,0.0004420916840651537,89.0,86.25,14
15,1590.9726097402583,1590.9726097402581,1836.9947689649612,2475.653709915893,0.0006285463331535665,0.0005495066805378815,0.0004039337149596634,90.0,82.41477272727272,15
16,1590.9726097402583,1590.9726097402581,1806.518103766678,2366.594039473739,0.0006285463331535665,0.0005590130361331823,0.00042254817823439216,85.0,83.94886363636364,16
17,1590.9726097402583,1590.9726097402581,1789.8332451975837,2167.4145607645105,0.0006285463331535665,0.0005634171033587276,0.0004613792017929742,81.0,81.875,17
18,1590.9726097402583,1590.9726097402581,1745.8940134685847,2268.109179473822,0.0006285463331535665,0.0005777910786318584,0.0004408958832537282,69.0,80.51136363636363,18
19,1590.9726097402583,1590.9726097402581,1716.0696679695254,2147.7810657050263,0.0006285463331535665,0.000587119332636198,0.00046559680405402104,59.0,73.23863636363637,19
20,1590.9726097402583,1590.9726097402581,1683.9721051541856,2161.4696507520707,0.0006285463331535665,0.0005973097176152585,0.0004626481799788655,50.0,66.5909090909091,20
21,1590.9726097402583,1590.9726097402581,1697.4748018814475,2121.7647309154618,0.0006285463331535665,0.0005925486641381155,0.00047130578872829935,55.00000000000001,74.91477272727273,21
22,1590.9726097402583,1590.9726097402581,1703.008824438577,2277.654057044565,0.0006285463331535665,0.0005914136413259824,0.00043904823777214793,56.99999999999999,75.05681818181819,22
23,1590.9726097402583,1590.9726097402581,1706.5391255433192,2116.608727420734,0.0006285463331535665,0.0005900072297261846,0.00047245387730144336,54.0,75.99431818181817,23
24,1590.9726097402583,1590.9726097402581,1711.9166894066439,2291.1088964718374,0.0006285463331535665,0.0005891567700482355,0.00043646986904024345,51.0,76.42045454545455,24
25,1590.9726097402583,1590.9726097402581,1720.1434950339158,2299.013948880729,0.0006285463331535665,0.0005854814948799869,0.0004349690877199105,59.0,78.38068181818181,25
26,1590.9726097402583,1590.9726097402581,1690.821700570848,2238.403710993661,0.0006285463331535665,0.0005950323451108421,0.0004467469362602533,53.0,69.28977272727272,26
27,1590.9726097402583,1590.9726097402581,1690.0506454721537,2201.6280595597063,0.0006285463331535665,0.0005957884788670505,0.00045420932734659326,44.0,47.89772727272727,27
28,1590.9726097402583,1590.9726097402581,1656.7504397898247,2168.7894022818773,0.0006285463331535665,0.0006067200391787817,0.00046108672374913683,28.999999999999996,30.227272727272727,28
29,1590.9726097402583,1590.9726097402581,1636.5429941203763,2028.780331544796,0.0006285463331535665,0.0006128356325462254,0.00049290698675029,28.000000000000004,26.61931818181818,29
30,1589.7678659534147,1589.7678659534147,1617.687214340184,1919.2461654779124,0.000629022652562096,0.0006191193643559341,0.0005210379043539676,22.0,11.875,0
31,1589.7678659534147,1589.7678659534147,1611.9846109717341,1866.275778241041,0.000629022652562096,0.0006212332219537279,0.0005358264901999083,16.0,10.994318181818182,1
32,1585.5160023722292,1585.5160023722292,1619.9210600360884,1913.489020501043,0.0006307094967845243,0.0006183919508847541,0.0005226055594184448,27.0,20.625,0
33,1585.5160023722292,1585.5160023722292,1605.6452764099583,1939.4383868389534,0.0006307094967845243,0.0006235104816679149,0.0005156131830668139,15.0,11.84659090909091,1
34,1585.5160023722292,1585.5160023722292,1619.5781051893482,1933.4661494123147,0.0006307094967845243,0.000618554286041572,0.0005172058483175171,24.0,21.420454545454547,2
35,1585.5160023722292,1585.5160023722292,1625.6553820801753,2020.5506921447138,0.0006307094967845243,0.0006169404103273745,0.0004949145813998606,22.0,16.079545454545453,3
36,1585.5160023722292,1585.5160023722292,1609.4511731261475,1938.3091890989235,0.0006307094967845243,0.0006223026113406275,0.000515913563029063,16.0,8.323863636363637,4
37,1585.5160023722292,1585.5160023722292,1598.5196493247508,1817.9260735678777,0.0006307094967845243,0.0006260103788784606,0.0005500773736290556,10.0,8.409090909090908,5
38,1585.5160023722292,1585.5160023722292,1595.3048138237712,1881.6940331334426,0.0006307094967845243,0.0006273110563764185,0.0005314360264696037,6.0,5.738636363636364,6
39,1585.5160023722292,1585.5160023722292,1619.0837219788646,1891.7182488230212,0.0006307094967845243,0.0006188270060161232,0.0005286199467717637,21.0,14.232954545454547,7
