generation,best_distance,generation_best_distance,avg_distance,worst_distance,unique_pct,hamming_avg,no_improve
0,1604.0221370917411,1604.0221370917411,8994.859800306747,10076.83600544064,100.0,0.9867378048780481,0
1,1604.0221370917411,1604.0221370917411,8401.509722636383,9528.060609181362,97.77777777777777,0.9859756097560964,1
2,1604.0221370917411,1604.0221370917411,7435.798716128584,9364.361759050978,97.77777777777777,0.9740853658536579,2
3,1604.0221370917411,1604.0221370917411,5871.153059375965,8882.770655462793,96.66666666666667,0.9804878048780482,3
4,1604.0221370917411,1604.0221370917411,4342.919794748644,7765.144250686438,96.66666666666667,0.9525914634146337,4
5,1604.0221370917411,1604.0221370917411,3274.6930037081365,5212.356505906237,96.66666666666667,0.9402439024390242,5
6,1604.0221370917411,1604.0221370917411,2842.3360807773274,4419.927276424856,96.66666666666667,0.9483231707317066,6
7,1604.0221370917411,1604.0221370917411,2489.8594086209114,3619.1809493066894,88.88888888888889,0.9434451219512194,7
8,1604.0221370917411,1604.0221370917411,2192.8718986766185,3212.4949561446797,85.55555555555556,0.8981707317073171,8
9,1604.0221370917411,1604.0221370917411,1987.4193130924873,2795.3253718572278,85.55555555555556,0.9118902439024389,9
10,1604.0221370917411,1604.0221370917411,1861.9719360431336,2455.5399448061576,75.55555555555556,0.8039634146341461,10
11,1604.0221370917411,1604.0221370917411,1778.1330550847465,2248.3125405645883,66.66666666666666,0.8057926829268292,11
12,1604.0221370917411,1604.0221370917411,1747.3959556088137,2360.366502186062,57.77777777777777,0.6926829268292682,12
13,1604.0221370917411,1604.0221370917411,1715.304449133653,2429.244626204106,51.11111111111111,0.6548780487804879,13
14,1604.0221370917411,1604.0221370917411,1682.43043215485,2050.9525964393615,42.22222222222222,0.66875,14
15,1604.0221370917411,1604.0221370917411,1674.7020529560689,2050.405332111053,38.88888888888889,0.6327743902439023,15
16,1604.0221370917411,1604.0221370917411,1716.6443883155484,2265.654333704967,47.77777777777778,0.5471036585365855,16
17,1604.0221370917411,1604.0221370917411,1712.994093329932,2206.82126671472,44.44444444444444,0.5370426829268291,17
18,1604.0221370917411,1604.0221370917411,1707.0075882045599,2201.9759555741202,44.44444444444444,0.36615853658536585,18
19,1604.0221370917411,1604.0221370917411,1642.2431433765626,1998.6762060993128,23.333333333333332,0.19451219512195114,19
20,1604.0221370917411,1604.0221370917411,1625.402847406936,1968.543035493658,14.444444444444443,0.2214939024390244,20
21,1604.0221370917411,1604.0221370917411,1645.758071980423,1954.3560298525445,21.11111111111111,0.29862804878048765,21
22,1604.0221370917411,1604.0221370917411,1645.8862193270447,1995.1484134155207,20.0,0.18353658536585366,22
23,1604.0221370917411,1604.0221370917411,1627.2280174963287,2015.6400125134062,13.333333333333334,0.1298780487804878,23
24,1604.0221370917411,1604.0221370917411,1626.0620046559363,1941.1099124676268,12.222222222222221,0.09862804878048781,24
25,1604.0221370917411,1604.0221370917411,1637.7154642464864,2038.1435834183937,16.666666666666664,0.16981707317073172,25
26,1604.0221370917411,1604.0221370917411,1660.05696037889,2240.5755297090514,26.666666666666668,0.23414634146341468,26
27,1585.5108168045087,1585.5108168045087,1640.8816548077402,1971.3899329000876,18.88888888888889,0.23963414634146338,0
28,1585.5108168045087,1585.5108168045087,1635.6578721648114,1975.8643248409805,20.0,0.20365853658536587,1
29,1585.5108168045087,1585.5108168045087,1630.2210311917725,2024.0164513145685,17.77777777777778,0.1125,2
