visit_order,city,x,y
1,Z3,71.2,-41.6
2,B1,44.0,-27.3
3,Y0,49.0,-16.1
4,C5,40.1,-15.4
5,V6,39.0,-13.9
6,Y8,29.2,-18.6
7,T5,21.0,-36.6
8,A6,12.8,-41.1
9,Z5,35.5,-99.5
10,R9,50.0,-78.6
11,X3,58.6,-79.3
12,S6,97.1,-87.3
13,J2,83.6,-71.3
14,T2,90.4,-60.7
15,N0,81.0,-40.8
16,K2,84.6,-26.4
17,D9,97.6,-24.6
18,T4,83.5,-1.5
19,N1,73.5,7.7
20,N6,65.2,7.0
21,E6,63.2,6.1
22,R8,60.2,7.9
23,V0,69.2,16.8
24,U3,89.6,28.4
25,K0,94.1,55.1
26,I4,84.7,47.1
27,W6,60.2,51.5
28,A7,69.1,79.0
29,F0,70.6,84.9
30,F1,65.6,76.2
31,R7,35.7,70.2
32,S2,36.6,82.6
33,H3,24.5,87.8
34,E3,23.7,75.8
35,W4,13.6,64.7
36,K5,1.6,74.4
37,E8,-4.9,92.6
38,S0,-29.1,75.3
39,O0,-33.0,60.4
40,I6,-36.4,50.2
41,H7,-51.5,35.8
42,A2,-54.5,75.2
43,L7,-34.3,98.7
44,C9,-91.7,99.4
45,Z4,-83.2,65.4
46,R5,-95.2,52.4
47,A8,-94.7,40.6
48,I7,-89.5,21.7
49,R2,-82.7,26.0
50,A1,-68.3,39.4
51,N3,-66.8,28.0
52,M8,-61.0,5.2
53,N8,-77.5,-19.2
54,J6,-92.6,-12.9
55,C1,-89.9,-76.3
56,L8,-74.0,-78.5
57,Q0,-63.0,-75.2
58,I8,-58.5,-67.7
59,T7,-56.6,-83.9
60,G1,-69.5,-93.1
61,O1,-33.6,-94.9
62,H8,-30.4,-86.2
63,M1,1.5,-72.1
64,W1,-17.2,-56.7
65,C6,-22.9,-60.8
66,K7,-33.0,-48.4
67,V4,-26.6,-48.4
68,X2,-9.7,-33.1
69,P0,0.1,-26.5
70,C3,12.2,-19.8
71,G2,18.2,-6.1
72,W2,11.1,-3.6
73,I3,-16.4,-11.1
74,L1,-9.2,25.7
75,V9,0.9,32.5
76,Q6,12.6,14.5
77,A0,18.1,37.1
78,F5,42.6,35.3
79,F3,41.1,10.5
80,Y1,62.0,-24.4
81,Z3 (retorno),71.2,-41.6
