generation,best_distance,generation_best_distance,avg_distance,worst_distance,unique_pct,hamming_avg,no_improve
0,1619.4078814108468,1619.4078814108468,8736.159305602096,9821.128843959916,100.0,0.9888235294117639,0
1,1619.4078814108468,1619.4078814108468,8434.651208449579,9437.787868189087,96.66666666666667,0.9849999999999992,1
2,1619.4078814108468,1619.4078814108468,7763.197195776244,9276.394525655347,98.88888888888889,0.9864705882352933,2
3,1619.4078814108468,1619.4078814108468,6636.156928702738,8906.673633022605,96.66666666666667,0.9638235294117642,3
4,1619.4078814108468,1619.4078814108468,5102.698457130252,8574.611342900522,95.55555555555556,0.954558823529411,4
5,1619.4078814108468,1619.4078814108468,3881.315181679904,6820.971048068077,96.66666666666667,0.9491176470588227,5
6,1619.4078814108468,1619.4078814108468,3248.137435104977,5055.792241363906,95.55555555555556,0.968529411764705,6
7,1619.4078814108468,1619.4078814108468,2804.2122241242187,4840.091539313385,93.33333333333333,0.9383823529411759,7
8,1619.4078814108468,1619.4078814108468,2392.136123688467,3837.528349428203,90.0,0.928088235294117,8
9,1619.4078814108468,1619.4078814108468,2120.558666627098,3233.6059423768093,87.77777777777777,0.8847058823529409,9
10,1619.4078814108468,1619.4078814108468,1888.4531678118203,2729.346359976938,72.22222222222221,0.871176470588235,10
11,1619.4078814108468,1619.4078814108468,1808.2456175835096,2428.7947698955113,63.33333333333333,0.8130882352941177,11
12,1619.4078814108468,1619.4078814108468,1759.2006952190038,2301.9726539487237,54.44444444444444,0.7044117647058823,12
13,1619.4078814108468,1619.4078814108468,1703.5668844654865,2060.410523511315,51.11111111111111,0.7083823529411765,13
14,1619.4078814108468,1619.4078814108468,1696.7806050969905,2123.069126426818,42.22222222222222,0.5511764705882352,14
15,1619.4078814108468,1619.4078814108468,1677.3907495582878,2014.5717474785333,35.55555555555556,0.5554411764705882,15
16,1619.4078814108468,1619.4078814108468,1696.0624554242395,2239.896335612058,36.666666666666664,0.5101470588235293,16
17,1619.4078814108468,1619.4078814108468,1673.938909357672,2062.235428513659,27.77777777777778,0.4223529411764705,17
18,1616.8617443556248,1616.8617443556248,1678.6438429087577,1953.7462608933454,32.22222222222222,0.46882352941176464,0
19,1616.8617443556248,1616.8617443556248,1671.0690685577742,2066.7421566915614,28.888888888888886,0.5313235294117645,1
20,1616.8617443556248,1616.8617443556248,1689.3072153344294,2047.8906596306767,38.88888888888889,0.5861764705882353,2
21,1616.8617443556248,1616.8617443556248,1681.0071643169972,2126.5920014607436,34.44444444444444,0.5672058823529412,3
22,1616.8617443556248,1616.8617443556248,1706.0272179302788,2074.5591763662533,47.77777777777778,0.6094117647058823,4
23,1616.8617443556248,1616.8617443556248,1669.6213258898752,2116.9558420455146,32.22222222222222,0.5799999999999998,5
24,1616.8617443556248,1616.8617443556248,1665.6437469139444,2178.9697360155806,23.333333333333332,0.43647058823529405,6
25,1613.8015767865204,1613.8015767865204,1641.6756852814074,1996.7479470671526,17.77777777777778,0.1461764705882353,0
26,1613.8015767865204,1613.8015767865204,1644.816885025359,1970.4217702799067,16.666666666666664,0.1013235294117647,1
27,1613.8015767865204,1613.8015767865204,1660.1686424728098,2025.0009142776307,23.333333333333332,0.1951470588235294,2
28,1613.8015767865204,1613.8015767865204,1702.0198053184479,2423.5002238168386,26.666666666666668,0.31235294117647056,3
29,1613.8015767865204,1613.8015767865204,1702.9008171771961,2216.306512914284,33.33333333333333,0.3866176470588235,4
30,1613.8015767865204,1613.8015767865204,1698.2370975909662,2104.538683061161,34.44444444444444,0.4560294117647058,5
31,1613.8015767865204,1613.8015767865204,1734.7638580557493,2243.079184051593,46.666666666666664,0.38999999999999996,6
32,1613.8015767865204,1613.8015767865204,1687.3263845468366,2329.6244331307103,27.77777777777778,0.2938235294117647,7
33,1613.8015767865204,1613.8015767865204,1653.0358295491706,1965.0005393803383,18.88888888888889,0.12397058823529412,8
34,1613.8015767865204,1613.8015767865204,1641.274466973319,1951.3357540966454,17.77777777777778,0.09985294117647059,9
35,1599.4226753137464,1599.4226753137464,1627.2282526589079,1896.902417843082,13.333333333333334,0.06308823529411764,0
36,1599.4226753137464,1599.4226753137464,1643.8013791865812,1962.160605555531,21.11111111111111,0.18323529411764705,1
37,1599.4226753137464,1599.4226753137464,1645.483727150894,1965.6066907525003,17.77777777777778,0.20514705882352943,2
38,1599.4226753137464,1599.4226753137464,1665.279304767836,1951.4768102660387,33.33333333333333,0.3119117647058823,3
39,1599.4226753137464,1599.4226753137464,1667.3403150179647,2029.625438430824,35.55555555555556,0.3311764705882354,4
40,1599.4226753137464,1599.4226753137464,1688.393509304321,2039.1611620990939,41.11111111111111,0.40661764705882364,5
41,1599.4226753137464,1599.4226753137464,1678.0896819006311,2165.199484691284,36.666666666666664,0.48029411764705865,6
42,1599.4226753137464,1599.4226753137464,1706.1313806938529,2155.5525445522867,44.44444444444444,0.5538235294117646,7
43,1599.4226753137464,1599.4226753137464,1690.90869436445,2052.592753248926,40.0,0.4313235294117649,8
44,1599.4226753137464,1599.4226753137464,1659.592020371989,2048.401649573361,28.888888888888886,0.18911764705882345,9
45,1599.4226753137464,1599.4226753137464,1632.41584697388,2005.8868492578033,16.666666666666664,0.0963235294117647,10
46,1599.4226753137464,1599.4226753137464,1608.612009326075,1848.6226055011048,8.88888888888889,0.036323529411764706,11
47,1599.4226753137464,1599.4226753137464,1625.80949060097,1933.1616290851246,14.444444444444443,0.14,12
48,1599.4226753137464,1599.4226753137464,1631.413090052581,1927.1286632711058,17.77777777777778,0.15397058823529414,13
49,1599.4226753137464,1599.4226753137464,1637.2062792767056,1990.7290128273935,22.22222222222222,0.11647058823529413,14
50,1599.4226753137464,1599.4226753137464,1618.136436258539,1931.2969171884865,13.333333333333334,0.08470588235294116,15
51,1593.8862725425706,1593.8862725425706,1625.5900378865642,1910.120628474419,17.77777777777778,0.06705882352941175,0
52,1593.8862725425706,1593.8862725425706,1629.5316459210565,1899.2216843568783,21.11111111111111,0.15823529411764703,1
53,1593.8862725425706,1593.8862725425706,1626.7876161585086,1933.1616290851246,17.77777777777778,0.14088235294117651,2
54,1593.8862725425706,1593.8862725425706,1627.3519829304723,2205.7944764403587,13.333333333333334,0.19485294117647056,3
55,1593.8862725425706,1593.8862725425706,1624.5071658512632,1869.5858740560761,18.88888888888889,0.10382352941176465,4
56,1593.8862725425706,1593.8862725425706,1611.2983266072642,1955.7398047075346,12.222222222222221,0.06117647058823528,5
