generation,best_distance,generation_best_distance,avg_distance,worst_distance,unique_pct,hamming_avg,no_improve
0,1644.4373488071196,1644.4373488071196,9253.524771648985,10286.08597290793,100.0,0.9892857142857145,0
1,1644.4373488071196,1644.4373488071196,8863.081403479402,10125.095971294359,98.88888888888889,0.9888392857142863,1
2,1644.4373488071196,1644.4373488071196,8138.284517935312,9640.845937567885,98.88888888888889,0.9690476190476197,2
3,1644.4373488071196,1644.4373488071196,7096.259925319831,9184.414442253637,96.66666666666667,0.9715773809523812,3
4,1644.4373488071196,1644.4373488071196,5454.452201911295,9031.458512092267,95.55555555555556,0.9447916666666668,4
5,1644.4373488071196,1644.4373488071196,3964.7634883456335,7647.134257665708,92.22222222222223,0.9438988095238097,5
6,1644.4373488071196,1644.4373488071196,2809.9807077387454,6084.161863831468,93.33333333333333,0.9281250000000005,6
7,1644.4373488071196,1644.4373488071194,2291.4169972450873,4434.1634179376,92.22222222222223,0.8891369047619049,7
8,1644.4373488071196,1644.4373488071194,2004.3927997997296,2893.12509051896,86.66666666666667,0.8872023809523812,8
9,1644.4373488071196,1644.4373488071194,1878.6814917246752,2596.4270237220458,85.55555555555556,0.8922619047619049,9
10,1643.8903662899913,1643.8903662899913,1837.4208566295663,2345.040073762567,81.11111111111111,0.8973214285714285,0
11,1643.8903662899913,1643.8903662899913,1863.9497928897647,2345.991612824873,85.55555555555556,0.8921130952380956,1
12,1643.8903662899913,1643.8903662899913,1842.6416198492316,2402.2333612252687,81.11111111111111,0.8654761904761908,2
13,1643.8903662899913,1643.8903662899913,1784.964486973128,2317.5612421669875,68.88888888888889,0.7752976190476193,3
14,1643.8903662899913,1643.8903662899913,1766.0204729497652,2365.844095999272,62.22222222222222,0.7293154761904763,4
15,1643.8903662899913,1643.8903662899913,1765.7098555779537,2342.508094912915,55.55555555555556,0.669047619047619,5
16,1634.9899551191152,1634.9899551191152,1733.2045565582926,2339.613322759519,44.44444444444444,0.5430059523809523,0
17,1634.9899551191152,1634.9899551191152,1759.8305253254205,2255.350400136247,52.22222222222223,0.6065476190476191,1
18,1634.9899551191152,1634.9899551191152,1729.6887707409899,2037.7064721207003,46.666666666666664,0.5498511904761906,2
19,1634.9899551191152,1634.9899551191152,1715.7738269208028,2227.4741356226045,38.88888888888889,0.5397321428571429,3
20,1634.9899551191152,1634.9899551191152,1736.151933761105,2164.1213213362585,46.666666666666664,0.6306547619047621,4
21,1634.9899551191152,1634.9899551191152,1719.1471677772213,2195.3738685279577,44.44444444444444,0.6355654761904763,5
22,1634.9899551191152,1634.9899551191152,1745.1065478679307,2343.3666959555094,51.11111111111111,0.5946428571428573,6
23,1634.9899551191152,1634.9899551191152,1746.4843065735176,2343.7937757762224,52.22222222222223,0.5750000000000001,7
24,1634.9899551191152,1634.9899551191152,1732.3354882170647,2185.936409563569,45.55555555555556,0.5696428571428569,8
25,1634.9899551191152,1634.9899551191152,1722.6409936515195,2171.455364729338,43.333333333333336,0.4565476190476191,9
26,1634.7140650212873,1634.7140650212873,1699.0657084442407,2022.311678175712,35.55555555555556,0.4574404761904761,0
27,1634.7140650212873,1634.7140650212873,1680.1632496389745,2275.029123644128,22.22222222222222,0.27991071428571423,1
28,1634.7140650212873,1634.7140650212873,1684.3503659883793,2161.955609124535,26.666666666666668,0.2712797619047618,2
29,1634.7140650212873,1634.7140650212873,1669.5397760377841,1993.0038544603283,18.88888888888889,0.17366071428571422,3
30,1634.7140650212873,1634.7140650212873,1690.7255757282915,2023.5715703165174,27.77777777777778,0.1803571428571428,4
31,1634.7140650212873,1634.7140650212873,1661.556469145518,1994.2842206406203,17.77777777777778,0.12202380952380949,5
32,1634.7140650212873,1634.7140650212873,1658.4606885930775,1910.8781073841808,13.333333333333334,0.12470238095238088,6
33,1634.7140650212873,1634.7140650212873,1667.5972038290784,2021.9236463362652,18.88888888888889,0.1363095238095238,7
34,1634.7140650212873,1634.7140650212873,1666.9950690195915,2007.8256748434937,17.77777777777778,0.15223214285714284,8
35,1634.7140650212873,1634.7140650212873,1666.1684666235356,1963.173741666268,18.88888888888889,0.1069940476190476,9
36,1634.7140650212873,1634.7140650212873,1670.8606571489609,1970.9134810386568,22.22222222222222,0.1586309523809524,10
37,1634.7140650212873,1634.7140650212873,1658.53997951947,1955.9474492937584,14.444444444444443,0.08005952380952377,11
38,1634.7140650212873,1634.7140650212873,1663.2147130545397,1915.481875266304,15.555555555555555,0.12172619047619046,12
39,1615.3393143797484,1615.3393143797484,1657.6524614216598,2042.7150964317984,17.77777777777778,0.06547619047619045,0
40,1615.3393143797484,1615.3393143797484,1651.8446708037811,1935.0523469022953,15.555555555555555,0.10773809523809522,1
41,1615.3393143797484,1615.3393143797484,1661.200877235095,1950.684567558972,16.666666666666664,0.12291666666666665,2
42,1615.3393143797484,1615.3393143797484,1669.1753672724237,2019.0299985346376,23.333333333333332,0.16026785714285705,3
